,0,1,2,3,4,5
0,11000000,"Milk, human",,,9602,Human milk
1,11100000,"Milk, NFS",,1,1004,"Milk, reduced fat"
2,11111000,"Milk, whole",3.5% or 3.8% fat milk; leche fresca,1,1002,"Milk, whole"
3,11111100,"Milk, low sodium, whole",,1,1002,"Milk, whole"
4,11111150,"Milk, calcium fortified, whole",,1,1002,"Milk, whole"
5,11111160,"Milk, calcium fortified, low fat (1%)",,1,1006,"Milk, lowfat"
6,11111170,"Milk, calcium fortified, fat free (skim)",nonfat milk; 0.5% or less fat; Skim Plus; Skim Delux Calcium,1,1008,"Milk, nonfat"
7,11112110,"Milk, reduced fat (2%)",Hi-Protein milk; fortified milk; 1.5% fat milk,1,1004,"Milk, reduced fat"
8,11112120,"Milk, acidophilus, low fat (1%)",,1,1006,"Milk, lowfat"
9,11112130,"Milk, acidophilus, reduced fat (2%)",1.5% fat acidophilus milk,1,1004,"Milk, reduced fat"
10,11112210,"Milk, low fat (1%)",,1,1006,"Milk, lowfat"
11,11113000,"Milk, fat free (skim)",nonfat milk; 0.5% or less fat,1,1008,"Milk, nonfat"
12,11114300,"Milk, lactose free, low fat (1%)","Lactaid; Lactaid, NS as to fat content; lactose reduced",1,1006,"Milk, lowfat"
13,11114320,"Milk, lactose free, fat free (skim)",Lactaid; nonfat milk; lactose reduced,1,1008,"Milk, nonfat"
14,11114330,"Milk, lactose free, reduced fat (2%)",Lactaid; lactose reduced,1,1004,"Milk, reduced fat"
15,11114350,"Milk, lactose free, whole",Lactaid whole milk; lactose reduced,1,1002,"Milk, whole"
16,11115000,"Buttermilk, fat free (skim)",nonfat buttermilk,,1008,"Milk, nonfat"
17,11115100,"Buttermilk, low fat (1%)","buttermilk, NS as to fat",,1006,"Milk, lowfat"
18,11115200,"Buttermilk, reduced fat (2%)","2% fat, made with nonfat milk solids",,1004,"Milk, reduced fat"
19,11115300,"Buttermilk, whole",,1,1002,"Milk, whole"
20,11115400,"Kefir, NS as to fat content",fermented milk drink; plain; all flavors,1,1006,"Milk, lowfat"
21,11116000,"Goat's milk, whole",,1,1002,"Milk, whole"
22,11120000,"Milk, dry, reconstituted, NS as to fat content",,1,1008,"Milk, nonfat"
23,11121100,"Milk, dry, reconstituted, whole",,1,1002,"Milk, whole"
24,11121210,"Milk, dry, reconstituted, low fat (1%)",,2a,1006,"Milk, lowfat"
25,11121300,"Milk, dry, reconstituted, fat free (skim)",nonfat milk,1,1008,"Milk, nonfat"
26,11210050,"Milk, evaporated, NS as to fat content",,1,1002,"Milk, whole"
27,11211050,"Milk, evaporated, whole",,1,1002,"Milk, whole"
